"time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation"
"2019-06-19T12:01:05.000Z,52.95857271,4.79187375,47,10.72,,0,0,gps,1,0.8,1.3,46,,,,73,""locatie rotterdam: 52.957091,4.793124"""
"2019-06-19T12:01:16.000Z,52.95887873,4.79179693,42,3.216,355.3,2.06,16,gps,0.7,0.7,1,46,,,,73,"
"2019-06-19T12:01:27.000Z,52.95910581,4.7916659,44,3.216,342.9,2.12,15,gps,0.7,0.7,1,46,,,,73,"
"2019-06-19T12:01:38.000Z,52.95933509,4.79158534,43,3.216,340.4,2.01,14,gps,0.8,0.7,1,46,,,,73,"
"2019-06-19T12:01:48.000Z,52.95950076,4.79152954,41,4.288,344.8,2.11,9,gps,0.9,0.7,1.1,46,,,,73,"
"2019-06-19T12:01:59.000Z,52.95970911,4.79144563,43,3.216,349.2,2.72,12,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:02:11.000Z,52.95999384,4.79130742,44,3.216,331.5,2.87,12,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:02:21.000Z,52.96022574,4.79107368,48,3.216,325.2,3.18,12,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:02:31.000Z,52.96046848,4.79080624,51,3.216,322.1,3.23,10,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:02:42.000Z,52.96074038,4.79054686,50,3.216,322.8,3.13,12,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:02:53.000Z,52.96097553,4.79032448,48,3.216,322.7,2.69,10,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:03:04.000Z,52.9612356,4.79007216,49,3.216,327.3,3.21,11,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:03:15.000Z,52.96152786,4.78983383,47,3.216,326.9,3.14,12,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:03:26.000Z,52.96181718,4.78958294,45,3.216,333.6,3.19,12,gps,0.8,0.7,1.1,46,,,,73,"
"2019-06-19T12:03:37.000Z,52.9620998,4.78937674,44,3.216,331.8,3.05,16,gps,0.7,0.7,1,46,,,,73,"
"2019-06-19T12:03:48.000Z,52.96239875,4.78919021,44,3.216,335.8,3.3,12,gps,0.8,0.7,1.1,46,,,,72,"
"2019-06-19T12:03:59.000Z,52.96269973,4.78901675,43,3.216,343.9,3.47,10,gps,0.8,0.7,1.1,46,,,,72,"
"2019-06-19T12:04:10.000Z,52.96302883,4.78891034,43,3.216,350.7,3.4,15,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:04:21.000Z,52.96333987,4.78882699,43,3.216,347.4,3.8,16,gps,0.7,0.7,1,46,,,,72,"
"2019-06-19T12:04:32.000Z,52.96367601,4.78876207,45,3.216,349.6,3.52,16,gps,0.7,0.7,1,46,,,,72,"
"2019-06-19T12:04:43.000Z,52.9640125,4.78874863,46,3.216,357.7,3.68,12,gps,0.7,0.7,1,46,,,,72,"
"2019-06-19T12:04:53.000Z,52.96431758,4.788773,48,3.216,0,3.48,11,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:05:04.000Z,52.96466074,4.78881405,47,3.216,7.1,3.43,10,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:05:15.000Z,52.96500752,4.78892503,45,4.288,12.2,3.48,14,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:05:26.000Z,52.96533214,4.78908325,45,5.36,12.2,3.31,13,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:05:37.000Z,52.96563295,4.78922959,48,5.36,9.9,3.26,13,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:05:48.000Z,52.9659546,4.7893272,44,4.288,7.3,3.17,14,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:05:59.000Z,52.96627571,4.78944116,44,4.288,8.7,3.33,14,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:06:10.000Z,52.96659674,4.78951602,45,3.216,5.5,3.24,17,gps,0.7,0.7,1,46,,,,72,"
"2019-06-19T12:06:20.000Z,52.96688996,4.78952697,41,3.216,3.7,3.17,12,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:06:31.000Z,52.96722071,4.78955135,39,4.288,4.1,3.08,14,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:06:42.000Z,52.96751739,4.78959253,48,4.288,5.1,3.18,13,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:06:53.000Z,52.96785024,4.78958419,43,5.36,4.2,3.15,14,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:07:04.000Z,52.96815854,4.78960914,42,6.432,4.1,3.64,14,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:07:15.000Z,52.96849021,4.78967289,42,5.36,344.3,3.11,15,gps,0.7,0.7,1,46,,,,72,"
"2019-06-19T12:07:26.000Z,52.96881919,4.78959163,49,4.288,353.6,3.81,16,gps,0.7,0.7,1,46,,,,72,"
"2019-06-19T12:07:37.000Z,52.96925497,4.78953882,46,4.288,356,4.53,11,gps,0.7,0.7,1,46,,,,72,"
"2019-06-19T12:07:47.000Z,52.96964538,4.78952474,46,3.216,3.7,4.36,13,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:07:58.000Z,52.97008524,4.78958146,44,3.216,11.5,4.41,13,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:08:08.000Z,52.9704622,4.78973632,43,4.288,16.8,4.03,11,gps,0.8,0.7,1.1,46,,,,72,"
"2019-06-19T12:08:19.000Z,52.97081084,4.78997023,43,4.288,22.2,3.94,14,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:08:29.000Z,52.97112307,4.79019081,44,3.216,16,3.04,12,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:08:40.000Z,52.97136534,4.79026278,45,4.288,14.2,2.28,12,gps,0.8,0.7,1.1,46,,,,72,"
"2019-06-19T12:08:51.000Z,52.97156714,4.79032317,45,4.288,12.2,2.08,14,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:09:02.000Z,52.97179276,4.79031975,41,5.36,9.4,1.92,13,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:09:13.000Z,52.97199762,4.79035756,41,4.288,4.1,2.1,12,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:09:24.000Z,52.97224636,4.79031087,42,4.288,358.9,2.05,13,gps,0.8,0.7,1.1,46,,,,72,"
"2019-06-19T12:09:35.000Z,52.97243229,4.7903101,44,5.36,1.7,1.99,13,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:09:46.000Z,52.97263036,4.79033994,43,4.288,1.9,2.05,13,gps,0.8,0.7,1,46,,,,72,"
"2019-06-19T12:09:57.000Z,52.97280638,4.79033888,44,4.288,357.2,2.06,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:10:08.000Z,52.97304307,4.79030277,44,4.288,349.6,2.01,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:10:18.000Z,52.97320553,4.79025493,43,4.288,347.3,2.03,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:10:29.000Z,52.97339321,4.79022999,43,4.288,5,2.46,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:10:39.000Z,52.97361915,4.79036962,46,3.216,20.4,2.92,10,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:10:50.000Z,52.97387205,4.79068188,44,3.216,30.8,3.28,13,gps,0.8,0.7,1.1,46,,,,71,"
"2019-06-19T12:11:00.000Z,52.9740706,4.79104121,46,3.216,36.2,3.13,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:11:11.000Z,52.97429839,4.79143616,44,3.216,36.8,3.42,9,gps,0.8,0.7,1.1,46,,,,71,"
"2019-06-19T12:11:22.000Z,52.97455897,4.79180376,41,3.216,38,3.26,14,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:11:32.000Z,52.97477238,4.79207118,46,4.288,25.1,3.5,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:11:43.000Z,52.97510042,4.79229395,45,5.36,16.3,3.48,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:11:55.000Z,52.97551048,4.79241494,46,4.288,12.8,3.75,13,gps,0.8,0.7,1.1,46,,,,71,"
"2019-06-19T12:12:05.000Z,52.97584491,4.79255533,47,5.36,14.3,3.68,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:12:16.000Z,52.97624155,4.79266203,45,4.288,10.8,3.76,14,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:12:27.000Z,52.97660973,4.7927077,46,3.216,8.3,3.79,12,gps,0.8,0.7,1.1,46,,,,71,"
"2019-06-19T12:12:38.000Z,52.97698414,4.79276335,44,4.288,10.2,3.77,13,gps,0.8,0.7,1.1,46,,,,71,"
"2019-06-19T12:12:48.000Z,52.97731311,4.79285273,44,3.216,10.4,3.69,13,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:12:59.000Z,52.97765941,4.79299752,44,4.288,12.9,3.53,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:13:09.000Z,52.97797949,4.79315942,44,4.288,18.5,3.65,13,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:13:20.000Z,52.97831928,4.79334208,45,4.288,18.3,3.63,13,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:13:30.000Z,52.97862254,4.79351972,45,4.288,18.8,3.69,13,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:13:41.000Z,52.97894355,4.79377859,44,4.288,21.6,3.59,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:13:52.000Z,52.97926841,4.79395112,44,4.288,21.6,3.61,13,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:14:03.000Z,52.97959793,4.7941468,44,4.288,24.3,3.65,11,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:14:14.000Z,52.979903,4.79440579,53,4.288,27.8,3.5,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:14:25.000Z,52.98020524,4.79471386,50,3.216,33.8,3.34,14,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:14:36.000Z,52.98046741,4.79507071,49,4.288,31.8,3.34,11,gps,0.7,0.7,1,46,,,,71,"
"2019-06-19T12:14:47.000Z,52.98076665,4.7953126,49,3.216,25.6,3.34,14,gps,0.7,0.7,1,46,,,,71,"
"2019-06-19T12:14:57.000Z,52.98105147,4.79553349,47,4.288,30.3,3.46,11,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:15:08.000Z,52.98132914,4.79585008,48,3.216,40.4,3.28,13,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:15:18.000Z,52.98153837,4.79618634,47,3.216,40.3,3.21,13,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:15:29.000Z,52.98177515,4.79654829,45,3.216,40.3,3.3,10,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:15:40.000Z,52.98201937,4.79686699,49,3.216,30.6,3.25,12,gps,0.7,0.7,1,46,,,,71,"
"2019-06-19T12:15:51.000Z,52.98231771,4.79708377,48,5.36,29,3.25,11,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:16:02.000Z,52.98260606,4.797332,49,5.36,23.4,3.73,11,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:16:13.000Z,52.98293934,4.79757381,50,6.432,18.1,3.36,11,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:16:24.000Z,52.98324504,4.79775355,47,5.36,22.6,3.44,13,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:16:35.000Z,52.98357161,4.79793935,51,5.36,25,3.44,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:16:45.000Z,52.98385227,4.79813967,50,5.36,25,3.29,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:16:56.000Z,52.98415153,4.79837817,49,4.288,26.2,3.28,13,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:17:06.000Z,52.98444519,4.79863456,48,4.288,30.7,3.45,13,gps,0.7,0.7,1,46,,,,71,"
"2019-06-19T12:17:17.000Z,52.98471235,4.79894889,46,3.216,37.3,3.42,14,gps,0.7,0.7,1,46,,,,71,"
"2019-06-19T12:17:27.000Z,52.98493379,4.79925467,43,3.216,41.5,3.35,11,gps,0.8,0.7,1.1,46,,,,71,"
"2019-06-19T12:17:37.000Z,52.9851196,4.79963219,44,3.216,43.5,3.24,14,gps,0.7,0.7,1,46,,,,71,"
"2019-06-19T12:17:48.000Z,52.98532209,4.80002188,45,3.216,44,3.15,13,gps,0.7,0.7,1,46,,,,71,"
"2019-06-19T12:17:59.000Z,52.98557449,4.80040859,47,3.216,36.5,3.16,11,gps,0.7,0.7,1,46,,,,71,"
"2019-06-19T12:18:10.000Z,52.98586222,4.80073406,47,4.288,20.5,3.45,11,gps,0.7,0.7,1,46,,,,71,"
"2019-06-19T12:18:21.000Z,52.98614892,4.80088264,47,4.288,22.4,3.59,12,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:18:32.000Z,52.9863988,4.80104663,49,3.216,22.5,1.76,14,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:18:43.000Z,52.98641773,4.80093737,47,3.216,271.6,0.8,19,gps,0.7,0.6,0.9,46,,,,71,"
"2019-06-19T12:18:53.000Z,52.98649616,4.80085375,48,3.216,336.6,0.72,13,gps,0.8,0.7,1,46,,,,71,"
"2019-06-19T12:19:04.000Z,52.98657582,4.80085865,46,4.288,10.2,1.03,15,gps,0.7,0.7,1,46,,,,70,"
"2019-06-19T12:19:15.000Z,52.98667153,4.80087904,45,3.216,46.9,1.13,15,gps,0.7,0.7,1,46,,,,70,"
"2019-06-19T12:19:26.000Z,52.98678946,4.80088517,46,4.288,79.5,0.97,12,gps,0.8,0.7,1,46,,,,70,"
"2019-06-19T12:19:36.000Z,52.98690058,4.80094078,48,3.216,112,1.21,12,gps,0.8,0.7,1,46,,,,70,"
"2019-06-19T12:19:47.000Z,52.98701317,4.80098076,46,3.216,61.8,1.13,11,gps,0.8,0.7,1,46,,,,70,"
"2019-06-19T12:19:57.000Z,52.98711058,4.80106437,46,3.216,77,1.13,14,gps,0.7,0.7,1,46,,,,70,"
"2019-06-19T12:20:08.000Z,52.98725035,4.80119387,46,3.216,87.3,1.95,13,gps,,,,46,,,,70,"
"2019-06-19T12:20:18.000Z,52.98741542,4.80133433,43,3.216,89.5,2.02,12,gps,0.8,0.7,1,46,,,,70,"
"2019-06-19T12:20:28.000Z,52.98755879,4.80158262,45,3.216,91,2.27,13,gps,0.8,0.7,1.1,46,,,,70,"
"2019-06-19T12:20:39.000Z,52.98772878,4.80190106,46,3.216,77.9,2.87,12,gps,0.8,0.7,1,46,,,,70,"
"2019-06-19T12:20:50.000Z,52.987917,4.80226644,44,3.216,71.4,2.85,12,gps,0.8,0.7,1,46,,,,70,"
"2019-06-19T12:21:01.000Z,52.98810883,4.80262275,46,3.216,64.6,2.96,11,gps,0.8,0.7,1,46,,,,70,"
"2019-06-19T12:21:12.000Z,52.98833332,4.8029556,45,3.216,62.9,3.01,14,gps,0.7,0.7,1,46,,,,70,"
"2019-06-19T12:21:23.000Z,52.98853985,4.80327534,46,3.216,62.3,2.9,13,gps,0.8,0.7,1,46,,,,70,"
"2019-06-19T12:21:34.000Z,52.98875353,4.80356667,45,3.216,57.9,3.05,14,gps,0.7,0.7,1,46,,,,70,"
"2019-06-19T12:21:45.000Z,52.98899733,4.8038867,44,3.216,55.8,2.93,13,gps,0.8,0.7,1,46,,,,70,"
"2019-06-19T12:21:56.000Z,52.98925248,4.80418745,44,3.216,54.6,3.1,13,gps,0.8,0.7,1,46,,,,70,"
"2019-06-19T12:22:06.000Z,52.98950251,4.80443712,43,3.216,47,3.22,14,gps,0.7,0.7,1,46,,,,70,"
"2019-06-19T12:22:17.000Z,52.98978978,4.80472567,43,3.216,44.7,3.2,14,gps,0.7,0.7,1,46,,,,70,"
"2019-06-19T12:22:28.000Z,52.99010283,4.80503746,44,3.216,42.8,3.31,13,gps,0.7,0.7,1,46,,,,70,"
"2019-06-19T12:22:39.000Z,52.99041664,4.80531051,41,4.288,40.6,3.37,11,gps,0.8,0.7,1,46,,,,70,"
"2019-06-19T12:22:49.000Z,52.99064829,4.80551104,44,3.216,39.9,2.53,11,gps,0.8,0.7,1,46,,,,70,"
"2019-06-19T12:23:00.000Z,52.99088063,4.80572017,41,5.36,40.6,3.12,14,gps,0.8,0.7,1,46,,,,70,"
"2019-06-19T12:23:11.000Z,52.99112282,4.8059398,47,4.288,40.7,3.13,13,gps,0.7,0.7,1,46,,,,70,"
"2019-06-19T12:23:22.000Z,52.99137171,4.80623032,43,3.216,39.4,3.2,13,gps,0.7,0.7,1,46,,,,70,"
"2019-06-19T12:23:33.000Z,52.99162732,4.80649753,44,3.216,40.1,3.18,13,gps,0.7,0.7,1,46,,,,70,"
"2019-06-19T12:25:53.000Z,52.99362484,4.80821431,53.0,33.232002,80.0,3.89,0,gps,0.8,0.7,1.1,46.0,,,,69,"
"2019-06-19T12:26:03.000Z,52.99342984,4.80885765,48.0,3.216,112.5,4.79,14,gps,0.7,0.7,1.0,46.0,,,,69,"
"2019-06-19T12:26:13.000Z,52.99323008,4.80944887,46.0,3.216,137.9,4.85,16,gps,0.7,0.6,1.0,46.0,,,,69,"
"2019-06-19T12:26:24.000Z,52.99298294,4.81013838,46.0,3.216,151.9,4.81,15,gps,0.8,0.6,1.0,46.0,,,,69,"
"2019-06-19T12:26:35.000Z,52.99281026,4.81081767,44.0,3.216,130.5,3.8,12,gps,0.8,0.7,1.1,46.0,,,,69,"
"2019-06-19T12:26:46.000Z,52.99261892,4.81134044,45.0,3.216,129.5,3.81,15,gps,0.7,0.7,1.0,46.0,,,,69,"
"2019-06-19T12:26:57.000Z,52.99242676,4.8118719,44.0,4.288,120.2,4.09,15,gps,0.7,0.7,1.0,46.0,,,,69,"
"2019-06-19T12:27:08.000Z,52.99222477,4.81233033,44.0,4.288,124.1,3.64,15,gps,0.8,0.6,1.0,46.0,,,,69,"
"2019-06-19T12:27:19.000Z,52.99203089,4.81288515,42.0,3.216,121.3,3.63,16,gps,0.7,0.6,1.0,46.0,,,,69,"
"2019-06-19T12:27:30.000Z,52.99183883,4.8133792,41.0,3.216,124.8,3.43,16,gps,0.7,0.6,1.0,46.0,,,,69,"
"2019-06-19T12:27:41.000Z,52.99158579,4.81383116,44.0,3.216,131.1,3.79,15,gps,0.8,0.6,1.0,46.0,,,,69,"
"2019-06-19T12:27:52.000Z,52.99134658,4.8142909,42.0,3.216,133.8,3.7,14,gps,0.8,0.7,1.0,46.0,,,,69,"
"2019-06-19T12:28:03.000Z,52.99105725,4.81467735,43.0,3.216,107.3,3.38,16,gps,0.7,0.6,1.0,46.0,,,,69,"
"2019-06-19T12:28:14.000Z,52.99100718,4.81479917,45.0,3.216,,0.0,18,gps,0.7,0.6,0.9,46.0,,,,69,"
"2019-06-19T12:28:25.000Z,52.99110384,4.81487403,49.0,3.216,42.5,1.31,18,gps,0.7,0.6,0.9,46.0,,,,69,"
"2019-06-19T12:28:36.000Z,52.99126094,4.81493406,51.0,3.216,39.8,1.45,17,gps,0.7,0.6,0.9,46.0,,,,69,"
"2019-06-19T12:28:47.000Z,52.9914393,4.81494506,52.0,4.288,14.3,2.02,18,gps,0.7,0.6,0.9,46.0,,,,69,"
"2019-06-19T12:28:58.000Z,52.99159785,4.81495259,49.0,7.504,356.5,1.38,18,gps,0.7,0.6,0.9,46.0,,,,69,"
"2019-06-19T12:29:09.000Z,52.99174687,4.81496984,50.0,4.288,21.9,1.61,17,gps,0.7,0.6,0.9,46.0,,,,69,"
"2019-06-19T12:29:19.000Z,52.99190969,4.81505183,50.0,9.648001,48.8,1.53,16,gps,0.7,0.7,1.0,46.0,,,,69,"
"2019-06-19T12:29:30.000Z,52.99204321,4.81519393,44.0,10.72,46.3,1.51,16,gps,0.7,0.6,1.0,46.0,,,,69,"
